,unified_book_id,unified_book_id,title,author,date,period,mode,genre,gender,birthdate,nationality,role (central/peripheral/influence)
194,214,111,Old Mr. Wiley,"Spina, Greye La",,,,,,,,
14,16,8,"The Damned Thing
1898, From 'In the Midst of Life'","Bierce, Ambrose",,,,,,,,
160,177,86,"Red Cap Tales, Stolen from the Treasure Chest of the Wizard of the North","Scott, Walter",,,,,,,,
163,180,83,St. Ronan's Well,"Scott, Walter",,,,,,,,
98,109,61,A Thin Ghost and Others,"James, Montague Rhodes",,,,,,,,
59,66,29,The Mummy and Miss Nitocris: A Phantasy of the Fourth Dimension,"Griffith-Jones, George Chetwynd",,,,,,,,
31,36,18,In Search of the Unknown,"Chambers, Robert William",,,,,,,,
110,122,65,At the Back of the North Wind,"MacDonald, George",,,,,,,,
137,153,76,The Raven,"Poe, Edgar Allan",,,,,,,,
206,230,123,The House of the Vampire,"Viereck, George Sylvester",,,,,,,,
3,3,1,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",,,,,,,,
204,228,121,Varney The Vampire,"Urban, Septimus R.",,,,,,,,
154,171,92,Letters on Demonology and Witchcraft,"Scott, Walter",,,,,,,,
49,54,24,The Lost Stradivarius,"Falkner, John Meade",,,,,,,,
115,127,71,The Angels of Mons: The Bowmen and Other Legends of the War,"Machen, Arthur",,,,,,,,
95,105,59,"The Monkey's Paw
The Lady of the Barge and Others, Part 2.","Jacobs, William Wymark",,,,,,,,
56,63,28,"Caleb Williams; Or, Things as They Are","Godwin, William",,,,,,,,
1,1,0,Old Saint Paul's: A Tale of the Plague and the Fire,"Ainsworth, William Harrison",,,,,,,,
199,222,115,Dracula's Guest,"Stoker, Bram",,,,,,,,
177,194,106,"Woodstock; or, the Cavalier","Scott, Walter",,,,,,,,
79,87,49,"The Miraculous Pitcher
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,,,
83,91,41,"The Three Golden Apples
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,,,
80,88,47,"The Paradise of Children
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,,,
74,82,51,"The Gorgon's Head
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",,,,,,,,
84,92,43,The Threefold Destiny (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
64,73,35,Edward Fane's Rosebud (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
67,75,32,Footprints on the Sea-Shore (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
77,86,55,The Lily's Quest (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
62,71,37,Beneath an Umbrella (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
63,72,34,Chippings with a Chisel (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
88,96,44,The White Old Maid (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
81,89,46,The Seven Vagabonds (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
71,79,54,Snow Flakes (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
82,90,45,The Sister Years (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
86,94,56,The Village Uncle (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
75,83,50,The Haunted Mind (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
66,74,33,Fancy's Show-Box (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
87,95,42,The Vision of the Fountain (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
85,93,48,The Toll Gatherer's Day (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
70,78,31,Sights from a Steeple (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
68,76,40,Little Annie's Ramble (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
72,80,53,Sunday at Home (From 'Twice Told Tales'),"Hawthorne, Nathaniel",,,,,,,,
8,8,6,"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story","Barnard, A. M.",,,,,,,,
99,110,62,Ghost Stories of an Antiquary,"James, Montague Rhodes",,,,,,,,
23,25,13,"Edgar Huntly; or, Memoirs of a Sleep-Walker","Brown, Charles Brockden",,,,,,,,
169,186,97,"The Fair Maid of Perth; Or, St. Valentine's Day","Scott, Walter",,,,,,,,
159,176,87,Quentin Durward,"Scott, Walter",,,,,,,,
162,179,84,Rob Roy — Complete,"Scott, Walter",,,,,,,,
165,182,79,The Antiquary — Complete,"Scott, Walter",,,,,,,,
6,6,4,Ghosts I Have Met and Some Others,"Bangs, John Kendrick",,,,,,,,
171,188,102,"The Heart of Mid-Lothian, Complete","Scott, Walter",,,,,,,,
155,172,91,"Old Mortality, Complete","Scott, Walter",,,,,,,,
157,174,89,"Old Mortality, Volume 2.","Scott, Walter",,,,,,,,
156,173,90,"Old Mortality, Volume 1.","Scott, Walter",,,,,,,,
61,68,30,The People of the Mist,"Haggard, Rider",,,,,,,,
166,183,81,The Betrothed,"Scott, Walter",,,,,,,,
174,191,104,The Surgeon's Daughter,"Scott, Walter",,,,,,,,
164,181,82,The Abbot,"Scott, Walter",,,,,,,,
173,190,103,The Monastery,"Scott, Walter",,,,,,,,
151,168,95,"Guy Mannering; or, The Astrologer — Complete","Scott, Walter",,,,,,,,
176,193,100,"Waverley; Or, 'Tis Sixty Years Since","Scott, Walter",,,,,,,,
158,175,88,Peveril of the Peak,"Scott, Walter",,,,,,,,
170,187,98,The Fortunes of Nigel,"Scott, Walter",,,,,,,,
111,123,66,"St. George and St. Michael, Volume 1","MacDonald, George",,,,,,,,
12,14,11,"A Son of the Gods, and A Horseman in the Sky","Bierce, Ambrose",,,,,,,,
32,37,19,The Hidden Children,"Chambers, Robert William",,,,,,,,
200,223,117,The Jewel of Seven Stars,"Stoker, Bram",,,,,,,,
201,224,118,The Lady of the Shroud,"Stoker, Bram",,,,,,,,
4,4,2,Windsor Castle,"Ainsworth, William Harrison",,,,,,,,
203,227,119,The Man,"Stoker, Bram",,,,,,,,
161,178,85,Redgauntlet: A Tale of the Eighteenth Century,"Scott, Walter",,,,,,,,
27,31,16,"Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance","Burton, Sir Richard Francis",,,,,,,,
100,111,63,Told After Supper,"Jerome, Jerome Klapka",,,,,,,,
153,170,93,Kenilworth,"Scott, Walter",,,,,,,,
150,167,96,A Legend of Montrose,"Scott, Walter",,,,,,,,
167,184,99,The Black Dwarf,"Scott, Walter",,,,,,,,
175,192,105,The Talisman,"Scott, Walter",,,,,,,,
73,81,52,Tanglewood Tales,"Hawthorne, Nathaniel",,,,,,,,
16,17,9,The Devil's Dictionary,"Bierce, Ambrose",,,,,,,,
113,125,68,The Princess and Curdie,"MacDonald, George",,,,,,,,
114,126,69,The Princess and the Goblin,"MacDonald, George",,,,,,,,
112,124,67,The Light Princess,"MacDonald, George",,,,,,,,
47,53,22,The Haunted Man and the Ghost's Bargain,"Dickens, Charles",,,,,,,,
38,43,21,The Woman in White,"Collins, Wilkie",,,,,,,,
69,77,36,Mosses from an old manse,"Hawthorne, Nathaniel",,,,,,,,
89,97,39,Twice-Told Tales,"Hawthorne, Nathaniel",,,,,,,,
168,185,80,The Bride of Lammermoor,"Scott, Walter",,,,,,,,
13,15,10,An Occurrence at Owl Creek Bridge,"Bierce, Ambrose",,,,,,,,
37,42,20,The Moonstone,"Collins, Wilkie",,,,,,,,
5,5,3,Northanger Abbey,"Austen, Jane",,,,,,,,
152,169,94,Ivanhoe: A Romance,"Scott, Walter",,,,,,,,
43,52,23,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",,,,,,,,
