docid,author,birthdate,date,subjects,title,nationality,gender,genretags,source
uc1.b3325448,"Lee, Vernon,",1856,1890,,Hauntings,English,f,teamred | pbgothic | stew,life cycle: pb
coo.31924014157121,"Wilde, Oscar,",1854,1891,,The picture of Dorian Gra,Irish,m,teamblack | pbgothic,life cycle: pb
uc1.b3578934,"Bierce, Ambrose,",1842,1891,,Tales of soldiers and civ,American,m,teamblack | pbgothic | stew,life cycle: pb
njp.32101013566920,"Bierce, Ambrose,",1842,1892,,In the midst of life;,American,m,teamblack | pbgothic | stew,life cycle: pb
uva.x000885514,"Bierce, Ambrose,",1842,1893,,Can such things be?,American,m,teamblack | pbgothic,life cycle: pb
uc1.b4104774,"Corelli, Marie,",1855,1895,,The sorrows of Satan;,English,f,teamred | pbgothic,life cycle: pb
StokerDracula1897,"Stoker, Bram,",1847,1897,,Dracula,Irish,m,teamblack | pbgothic | stew,life cycle: pb
JamesTurnOfScrew1898,"James, Henry,",1843,1898,,The Turn of the Screw,American,m,teamred | pbgothic,life cycle: pb
inu.39000002156706,"Benson, Arthur Christophe",1862,1903,,The hill of trouble and o,English,m,teamblack | pbgothic,life cycle: pb
uc1.32106001980371,"Dunsany, Edward John More",1878,1905,,The gods of Pegāna,Irish,m,teamblack | pbgothic | stew,life cycle: pb
uc1.b3578940,"Blackwood, Algernon,",1869,1906,,The empty house,English,m,teamblack | pbgothic | stew,life cycle: pb
inu.30000011752437,"Wharton, Edith,",1862,1910,,Tales of men and ghosts,American,f,teamred | pbgothic,life cycle: pb
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
RED: UNAVAILABE,,,,,,,,,
YELLOW: ALREADY COVERED,,,,,,,,,
GREEN: NOW INCLUDED,,,,,,,,,
ORANGE: FOUND BUT REJECTED,,,,,,,,,
