,unified_book_id,title,author,date,period,mode,genre,nationality,pseudonym
157,31,A Sicilian Romance,"Radcliffe, Ann",1790.0,Romantic,Novel,Gothic,English,
158,26,The Castles Of Athlin And Dunbayne,"Radcliffe, Ann",1789.0,Romantic,Novel,Gothic,English,
159,99,"The Italian, Or, The Confessional Of The Black Penitents. A Romance","Radcliffe, Ann",1797.0,Romantic,Novel,Gothic,English,
160,58,The Mysteries Of Udolpho. A Romance,"Radcliffe, Ann",1794.0,Romantic,Novel,Gothic,English,
161,39,The Romance Of The Forest,"Radcliffe, Ann",1791.0,Romantic,Novel,Gothic,English,
162,78,The Mysteries of Udolpho,"Rattcliffe, Anne",,,,,,
163,17,The Old English Baron,"Reeve, Clara",1785.0,Romantic,Novel,Gothic,English,
164,203,The Mysterious Wanderer,"Reeve, Sophia",1807.0,Romantic,Novel,Gothic,,
165,84,The Children Of The Abbey. A Tale,"Roche, Regina Maria",1796.0,Romantic,Novel,Gothic,Irish,
166,343,Varney The Vampire,"Rymer, James Malcolm",1847.0,Victorian,Novel,Gothic,English,
167,96,A Legend of Montrose,"Scott, Walter",,,,,,
168,95,"Guy Mannering; or, The Astrologer — Complete","Scott, Walter",,,,,,
169,94,Ivanhoe: A Romance,"Scott, Walter",,,,,,
170,93,Kenilworth,"Scott, Walter",,,,,,
171,92,Letters on Demonology and Witchcraft,"Scott, Walter",,,,,,
172,91,"Old Mortality, Complete","Scott, Walter",,,,,,
173,90,"Old Mortality, Volume 1.","Scott, Walter",,,,,,
174,89,"Old Mortality, Volume 2.","Scott, Walter",,,,,,
175,88,Peveril of the Peak,"Scott, Walter",,,,,,
176,87,Quentin Durward,"Scott, Walter",,,,,,
177,86,"Red Cap Tales, Stolen from the Treasure Chest of the Wizard of the North","Scott, Walter",,,,,,
178,85,Redgauntlet: A Tale of the Eighteenth Century,"Scott, Walter",,,,,,
179,84,Rob Roy — Complete,"Scott, Walter",,,,,,
180,83,St. Ronan's Well,"Scott, Walter",,,,,,
181,82,The Abbot,"Scott, Walter",,,,,,
182,79,The Antiquary — Complete,"Scott, Walter",,,,,,
183,81,The Betrothed,"Scott, Walter",,,,,,
184,99,The Black Dwarf,"Scott, Walter",,,,,,
185,80,The Bride of Lammermoor,"Scott, Walter",,,,,,
186,97,"The Fair Maid of Perth; Or, St. Valentine's Day","Scott, Walter",,,,,,
187,98,The Fortunes of Nigel,"Scott, Walter",,,,,,
188,102,"The Heart of Mid-Lothian, Complete","Scott, Walter",,,,,,
189,101,The Lady of the Lake,"Scott, Walter",,,,,,
190,103,The Monastery,"Scott, Walter",,,,,,
191,104,The Surgeon's Daughter,"Scott, Walter",,,,,,
192,105,The Talisman,"Scott, Walter",,,,,,
193,100,"Waverley; Or, 'Tis Sixty Years Since","Scott, Walter",,,,,,
194,106,"Woodstock; or, the Cavalier","Scott, Walter",,,,,,
195,259,"Frankenstein, Or, The Modern Prometheus","Shelley, Mary",1818.0,Romantic,Novel,Gothic,English,
196,323,Lodore,"Shelley, Mary",1835.0,Romantic,Novel,Gothic,English,
197,271,Mathilda,"Shelley, Mary",1819.0,Romantic,Novella,Gothic,English,
198,312,The Fortunes Of Perkin Warbeck. A Romance,"Shelley, Mary",1830.0,Romantic,Novel,Gothic,English,
199,303,The Last Man,"Shelley, Mary",1826.0,Romantic,Novel,Gothic,English,
200,290,"Valperga, Or, The Life And Adventures Of Castruccio, Prince Of Lucca","Shelley, Mary",1823.0,Romantic,Novel,Gothic,English,
201,108,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",,,,,,
202,107,The Last Man,"Shelley, Mary Wollstonecraft",,,,,,
203,235,"St. Irvyne, Or, The Rosicrurian. A Romance","Shelley, Percy",1811.0,Romantic,Novella,Gothic,English,
204,223,Zastrozzi. A Romance,"Shelley, Percy",1810.0,Romantic,Novella,Gothic,English,
205,116,The Orphan Of The Rhine. A Romance,"Sleath, Eleanor",1798.0,Romantic,Novel,Gothic,English,
206,15,"""Written On The Sea Shore""","Smith, Charlotte",1784.0,Romantic,Poetry,Sonnet,English,
207,23,"Emmeline, Or The Orphan Of The Castle","Smith, Charlotte Turner",1788.0,Romantic,Novel,Gothic,English,
208,59,The Banished Man,"Smith, Charlotte Turner",1794.0,Romantic,Novel,Gothic,English,
209,48,The Emigrants,"Smith, Charlotte Turner",1793.0,Romantic,Poetry,Gothic,English,
210,49,The Old Manor House,"Smith, Charlotte Turner",1793.0,Romantic,Novel,Gothic,English,
211,109,The Secret of Kralitz,"Smith, Woodrow Wilson",,,,,,
212,0,The Adventures Of Ferdinand Count Fathom,"Smollett, Tobias",1753.0,Pre-Romantic,Novel,,Scottish,
213,110,The Adventures of Ferdinand Count Fathom — Complete,"Smollett, Tobias George",,,,,,
214,111,Old Mr. Wiley,"Spina, Greye La",,,,,,
215,225,"""The Vampyre""","Stagg, John",1810.0,Romantic,Poetry,Gothic,English,
216,112,The Yellow Wallpaper,"Stetson, Charlotte Perkins",,,,,,
217,114,A Child's Garden of Verses,"Stevenson, Robert Louis",,,,,,
218,374,The Strange Case Of Dr. Jekyll And Mr. Hyde,"Stevenson, Robert Louis",1886.0,Victorian,Novel,Gothic,Scottish,
219,113,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",,,,,,
220,388,Dracula,"Stoker, Bram",1897.0,Victorian,Novel,Gothic,Irish,
221,116,Dracula,"Stoker, Bram",,,,,,
222,115,Dracula's Guest,"Stoker, Bram",,,,,,
223,117,The Jewel of Seven Stars,"Stoker, Bram",,,,,,
224,118,The Lady of the Shroud,"Stoker, Bram",,,,,,
225,400,The Lair Of The White Worm,"Stoker, Bram",1911.0,Victorian,Novel,Gothic,Irish,
226,120,The Lair of the White Worm,"Stoker, Bram",,,,,,
227,119,The Man,"Stoker, Bram",,,,,,
228,121,"Varney the Vampire; Or, the Feast of Blood","Urban, Septimus R.",,,,,,
229,122,There is a Reaper ...,"Vet, Charles Vincent de",,,,,,
230,123,The House of the Vampire,"Viereck, George Sylvester",,,,,,
231,2,The Castle Of Otranto,"Walpole, Horace",1764.0,Romantic,Novel,Gothic,English,
232,124,The Castle of Otranto,"Walpole, Horace",,,,,,
233,125,The Dark Other,"Weinbaum, Stanley Grauman",,,,,,
234,397,"""Afterward""","Wharton, Edith",1910.0,,Short Story,Gothic,American,
235,384,Salome,"Wilde, Oscar",1894.0,Victorian,Drama,Gothic,Irish,
236,380,The Picture Of Dorian Gray,"Wilde, Oscar",1891.0,Victorian,Novel,Gothic,Irish,
237,126,The Picture of Dorian Gray,"Wilde, Oscar Fingal O'Flahertie Wills",,,,,,
238,32,"Julia. A Novel, Interspersed With Some Poetical Pieces","Williams, Helen Maria",1790.0,Romantic,Novel,Gothic,English,
239,395,The Return,"de la Mare, Walter",1910.0,Edwardian,Novel,Gothic,English,
240,382,Trilby,"du Maurier, George",1894.0,Victorian,Novel,Gothic,French-British,
241,61,"Count Roderic'S Castle, Or, Gothic Times. A Tale",unsigned,1794.0,Romantic,Novel,Gothic,,
242,362,A Long Fatal Love Chase,"Alcott, Louisa May",1866.0,Victorian,Novel,Gothic,American,
243,229,"""To Make A Novel""",Anonymous,1810.0,Romantic,Poetry,Gothic Parody,,
244,240,Tales Of The Dead,Anonymous,1812.0,Romantic,Short Story Collection,Gothic,English,
245,230,"The Age; A Poem, Moral, Political, And Metaphysical",Anonymous,1810.0,Romantic,Poetry,Gothic,,
246,107,De Montfort: A Tragedy,"Baillie, Joanna",1798.0,Romantic,Drama,Gothic Tragedy,Scottish,
247,262,The Black Robber. A Romance,"Ball, Edward",1819.0,Romantic,Novel,Gothic,,
248,34,"The Statue Room, An Historical Tale","Ballin, Rossetta",1790.0,Romantic,Novel,Gothic,,
249,331,The Ingoldsby Legends,"Barham, Richard",1840.0,Victorian,Short Story Collection,Gothic,American,"Ingoldsby, Thomas"
250,89,Azemia,"Beckford, William",1797.0,Romantic,Novel,Gothic Satire,English,
251,377,"""The Spook House""","Bierce, Ambrose",1889.0,,Short Story,Gothic,American,
252,300,"The Mysterious Monk, Or, The Wizard'S Tower","Bolen, C. A.",1826.0,Romantic,Novel,Gothic,,
253,27,Ellen Woodley. A Novel,"Bonhote, Elizabeth",1790.0,Romantic,Novel,Gothic,English,
254,8,The Fashionable Friend. A Novel,"Bonhote, Elizabeth",1773.0,Pre-Romantic,Novel,Gothic,English,
255,207,The Witch Of Ravensworth. A Romance,"Brewer, George",1808.0,Romantic,Novel,Gothic,English,
256,123,"A Winter'S Tale, A Romance","Brewer, James Norris",1799.0,Romantic,Novel,Gothic,English,
257,263,The Sisters Of St. Gothard. A Tale,"Brown, Elizabeth Cullen",1819.0,Romantic,Novel,Gothic,,
258,154,Le Forester. A Novel,"Brydges, Sir Samuel Egerton",1802.0,Romantic,Novel,Gothic,English,
259,41,Mary De Clifford. A Story Interspersed With Many Poems,"Brydges, Sir Samuel Egerton",1792.0,Romantic,Novel,Gothic,English,
260,272,Sir Ralph Willoughby. An Historical Tale Of The Sixteenth Century,"Brydges, Sir Samuel Egerton",1820.0,Romantic,Novel,Gothic,English,
261,74,Clarentine. A Novel,"Burney, Sarah Harriet",1796.0,Romantic,Novel,Gothic,English,
262,264,Fragment Of A Novel,"Byron, Lord George Gordon",1819.0,Romantic,Fragment,Gothic,English,
263,186,Secrets Of The Castle,"Carey, David",1806.0,Romantic,Novel,Gothic,,
264,134,"""The Mad Monk""","Coleridge, Samuel Taylor",1800.0,Romantic,Poetry,Gothic,English,
265,307,"Salathiel. A Story Of The Past, The Present, And The Future","Croly, George",1828.0,Romantic,Novel,Gothic,Irish,
266,407,"""Spectre Of The Turret, Or, Guolto Castle. A Romance""","Crookenden, Isaac",0.0,Romantic,Short Story,Gothic,English,
267,187,"Fatal Secrets, Or, Etherlinda De Salmoni. A Sicilian Story","Crookenden, Isaac",1806.0,Romantic,Novel,Gothic,English,
268,208,"Horrible Revenge, Or, The Monster Of Italy!!","Crookenden, Isaac",1808.0,Romantic,Novel,Gothic,English,
269,406,Romantic Tales,"Crookenden, Isaac",0.0,Romantic,Short Story Collection,Gothic,English,
270,166,"Story Of Morella De Alto, Or, The Crimes Of Scorpino Developed","Crookenden, Isaac",1804.0,Romantic,Novel,Gothic,English,
271,231,"The Italian Banditti, Or, The Secret History Of Henry And Matilda. A Romance. With Horrible Revenge Is Bound Hopeless Love. An Interesting Tale","Crookenden, Isaac",1811.0,Romantic,Novel,Gothic,English,
272,188,"The Mysterious Murder, Or, The Usurper Of Naples. An Original Romance. To Which Is Prefixed The Nocturnal Assassin, Or, Spanish Jealousy","Crookenden, Isaac",1806.0,Romantic,Novel,Gothic,English,
273,176,"The Skeleton, Or, Mysterious Discovery. A Gothic Romance","Crookenden, Isaac",1805.0,Romantic,Novel,Gothic,English,
274,185,"The Vindictive Monk, Or The Fatal Ring","Crookenden, Isaac",1805.0,Romantic,Novel,Gothic,English,
275,53,"The Haunted Priory, Or, The Fortunes Of The House Of Rayo. A Romance Founded Partly On Historical Fact","Cullen, Stephen",1794.0,Romantic,Novel,Gothic,,
276,144,"Ancient Records, Or, The Abbey Of Saint Oswythe. A Romance","Curties, T. J. Horsley",1801.0,Romantic,Novel,Gothic,,
277,126,"Ethelwina, Or, The House Of Fitz-Auburne. A Romance Of Former Times","Curties, T. J. Horsley",1799.0,Romantic,Novel,Gothic,,
278,189,"St. Boltoph'S Priory, Or, The Sable Mask. An Historical Romance","Curties, T. J. Horsley",1806.0,Romantic,Novel,Gothic,,
279,198,The Monk Of Udolpho,"Curties, T. J. Horsley",1807.0,Romantic,Novel,Gothic,,
280,167,"The Watch Tower, Or, The Sons Of Ulthona. An Historical Romance","Curties, T. J. Horsley",1804.0,Romantic,Novel,Gothic,,
281,161,Romance Of The Pyrenees,"Cuthbertson, Catherine",1803.0,Romantic,Novel,Gothic,,
282,311,"Sir Ethelbert, Or, The Dissolution Of Monasteries. A Romance","Cuthbertson, Catherine",1830.0,Romantic,Novel,Gothic,,
283,177,Confessions Of The Nun Of St. Omer. A Tale,"Dacre, Charlotte",1805.0,Romantic,Novel,Gothic,English,
284,199,The Libertine,"Dacre, Charlotte",1807.0,Romantic,Novel,Gothic,English,
285,232,The Passions,"Dacre, Charlotte",1811.0,Romantic,Novel,Gothic,English,
286,190,"Zofloya, Or, The Moor. A Romance Of The Fifteenth Century","Dacre, Charlotte",1806.0,Romantic,Novel,Gothic,English,
287,219,"Sir Francis Darrell, Or, The Vortex. A Novel","Dallas, Robert Charles",1810.0,Romantic,Novel,Gothic,,
288,257,An Angel'S Form And A Devil'S Heart,"Davenport, Selina",1818.0,Romantic,Novel,Gothic,English,
289,308,Italian Vengeance And English Forbearance. A Romance,"Davenport, Selina",1828.0,Romantic,Novel,Gothic,English,
290,120,"""Henry Fitz-Owen""","Drake, Nathan",1798.0,Romantic,Short Story,Gothic,English,
291,119,"""Montmorency""","Drake, Nathan",1798.0,Romantic,Short Story,Gothic,English,
292,45,"""Ode To Superstition""","Drake, Nathan",1793.0,Romantic,Poetry,Gothic,English,
293,172,"""Sir Egbert""","Drake, Nathan",1804.0,Romantic,Short Story,Gothic,English,
294,170,"""The Abbey Of Clunedale""","Drake, Nathan",1804.0,Romantic,Short Story,Gothic,English,
